date;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
2016-02-06;5249110.537290839;4357362.661361581;690624.1645813169;475821.90108299546
2016-02-07;8334332.620620864;7161534.874915943;1099919.391632214;785385.1110935066
2016-02-08;3727433.8719844827;3152142.6570417723;753054.1486740044;495247.9677200605
2016-02-09;333277.9085636525;230773.3674049165;15383.842945091408;7084.80095863292
2016-02-10;549910.1788992778;417566.00689892465;23706.007719038393;18258.786678322667
2016-02-11;7294628.691910913;6226865.697145319;808438.5359287118;583805.0718307507
2016-02-12;4901063.722848685;4181665.4803752056;767981.2750815708;552628.2987594779
2016-02-13;5127930.702686072;4396921.985626271;766620.2797889623;539854.2852401901
2016-02-14;5370800.954580496;4568564.828634396;756100.650787328;535228.4784317662
2016-02-15;4319906.04066852;3612689.1334056845;901356.7826748495;628574.5279789122
2016-02-16;170944.84186175044;123912.61005399826;18917.332172393988;7353.340387337576
2016-02-17;408351.92918774585;340438.678503024;2308.8114261614996;1486.1872196201798
2016-02-18;5734182.281494111;4947345.637559737;804686.2201690773;584702.8489112279
2016-02-19;6056805.161952938;5191493.940592007;965870.3823090041;678363.168478022
2016-02-20;5891173.274517031;4989952.383994891;946345.6971645256;640642.3282623417
2016-02-21;5674732.547044742;4815163.206338933;1122192.7866936377;810274.111747645
2016-02-22;5031566.829920048;3995686.2883566837;1196677.9975890003;747412.8293990374
2016-02-23;246788.95497275668;169731.9929600213;48501.33299823944;22189.913988117816
2016-02-24;751236.2656597412;613094.4223402158;75413.42806818026;50135.392904245404
2016-02-25;4724994.332790734;4026903.0330179194;1024445.1181888701;743582.8948020529
2016-02-26;7018039.914847042;5972216.739416029;1168301.0079861118;814969.8081017092
2016-02-27;5686181.953907687;4924803.013086093;1098822.5874903083;812070.3525542916
2016-02-28;4601503.867864653;3940125.6864071772;1006296.9374655805;666226.2463569548
2016-02-29;0.0;0.0;0.0;0.0
2016-03-01;5278189.3270015735;4530983.356475765;989142.6708698618;712939.7754668918
2016-03-02;289830.8036324353;223566.4885043636;21881.39176368643;9880.34224510165
2016-03-03;258419.67010470526;202244.84229086587;15902.8944969123;8296.272277836799
2016-03-04;5648611.800670336;4796942.594289779;1101960.5655669542;757614.701032654
2016-03-05;5732223.544359248;4855774.231195424;736117.2745228674;470664.32094571204
2016-03-06;5770398.118257682;4902012.247800803;829211.1103535469;603215.0940894891
2016-03-07;2871337.8238676717;2454731.7707538353;535176.8445968583;383934.8855018249
2016-03-08;55226.93085672621;42537.61816025044;8702.0456790952;5694.924354553791
2016-03-09;43006.43873215087;21676.727771760736;21674.803018570296;12463.18197250556
2016-03-10;323904.15668516146;244129.5833587412;22470.805883411253;8377.045154565829
2016-03-11;7571157.097816812;6602964.133024128;1256071.544885657;909171.065568881
2016-03-12;9213107.076883607;8044764.595031701;1018152.374505974;741679.1894436206
2016-03-13;8004642.267942147;6986139.941215674;889999.3338584935;659222.2087382899
2016-03-14;7687820.653200073;6647097.075938947;1100995.8338738186;780842.587232633
2016-03-15;5883767.410756037;4990274.184703797;1154847.350358965;789928.5001754942
2016-03-16;152500.55289270318;105845.66497803153;19334.974527359245;10090.82221985076
2016-03-17;378125.92792513897;316587.7566338154;46472.96929360169;15637.563943865041
2016-03-18;7053044.623135276;5920551.18513107;1117167.1919823685;764229.8643588758
2016-03-19;6653139.390230224;5811648.062944344;1254293.4830188742;971616.0986423492
2016-03-20;7170497.5383288395;6224241.0554884095;887834.7382545694;631785.9272955968
2016-03-21;6763392.532824117;5853366.699933217;1074016.0953998677;760834.6688746954
2016-03-22;6665234.401226035;5814677.620649606;912871.7265129763;651854.7790049801
2016-03-23;796323.4295845629;711199.5601653587;15714.106798143639;11251.054763796574
2016-03-24;494224.9338626764;394826.9963263937;26688.253402695886;17675.05216598765
