;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
0.158.51.48;23.73504638671;8.691310882569999;0.0;0.0
0.158.75.140;114.52126502982999;93.301773071247;0.0;0.0
0.159.113.68;93.5070514679;44.0654754639;0.0;0.0
0.159.119.51;9994305.655241353;8206591.296434368;9980877.100468041;8203047.019004784
0.159.147.130;22476.66764260307;21143.17560196549;0.0;0.0
0.159.149.108;113744.17591094133;107756.46877290246;0.0;0.0
0.16.162.78;15809.59129334066;14912.072420126273;0.0;0.0
0.16.166.138;37.058115005519994;21.987199783359998;0.0;0.0
0.16.166.177;0.8461475372310001;0.0;0.0;0.0
0.16.166.66;426.68890953048;409.76977348300005;0.0;0.0
0.16.167.234;28121.488809599385;26985.248088834156;0.0;0.0
0.16.218.186;1842.95892715305;1767.09628105517;0.0;0.0
0.162.53.254;21180.096626275437;20492.639064776875;0.0;0.0
0.169.103.30;24641.121864309633;23327.433824541742;0.0;0.0
0.17.117.127;72.9479789734;60.110092163100006;0.0;0.0
0.17.169.10;757.1048736572001;561.470031738;0.0;0.0
0.17.170.200;1712.5930786108302;1594.582796099199;0.0;0.0
0.17.175.228;378765.3903958911;362547.407865277;0.0;0.0
0.17.237.107;5684.039592750491;5189.1942024272585;0.0;0.0
0.171.0.0;10755.665540690661;8936.967849731142;4575.11591911215;4176.78546905903
0.171.0.145;947.40891456549;887.857913971;0.0;0.0
0.171.1.11;49887.95781137702;21472.675800321365;0.0;0.0
0.171.1.200;5.537033081050001;1.37495994568;0.0;0.0
0.171.11.188;3754.32753563423;3578.523635867386;0.0;0.0
0.171.11.67;1616.21618270932;1494.968652721514;0.0;0.0
0.171.114.232;26368.63541602798;24973.774909952426;0.0;0.0
0.171.114.73;1659.38210487477;1539.2315387772749;0.0;0.0
0.171.12.242;68.2420730591;53.8358688354;0.0;0.0
0.171.12.59;811.8927478791501;731.668710709;0.0;0.0
0.171.12.89;4.93788719177;1.18184089661;0.0;0.0
0.171.120.14;1251.03092193353;1187.367439268643;0.0;0.0
0.171.120.21;1352.52094268472;1284.827470779258;0.0;0.0
0.171.120.35;4645.69234847835;4257.644176486706;0.0;0.0
0.171.122.181;49806.03528022723;38153.24234961356;49777.7009010311;38153.24234961356
0.171.122.205;12973.653078080803;12265.089988710006;0.0;0.0
0.171.124.247;9421.875000006341;8719.99502182351;0.0;0.0
0.171.126.131;27.75692939759;3.4170150756839996;0.0;0.0
0.171.126.137;37.49585151668;1.070976257324;0.0;0.0
0.171.126.163;6.769180297849999;0.900983810425;0.0;0.0
0.171.127.161;157.31668472298998;38.050889968849994;157.31668472298998;38.050889968849994
0.171.127.165;76641.89076423923;69624.53913687421;76641.03055000583;69624.53913687421
0.171.127.198;3158.955812448503;2608.283281317191;3157.0487022342704;2608.283281317191
0.171.127.214;0.9989738464360001;0.0;0.0;0.0
0.171.127.226;37560.261726368146;34734.78293418777;37366.87159537192;34734.78293418777
0.171.127.234;9777.234315866488;7885.6723308485825;9772.448301309598;7885.6723308485825
0.171.127.240;1.01518630981;0.0;0.0;0.0
0.171.127.244;166.270017624;58.7928295135;166.270017624;58.7928295135
0.171.13.66;14915.81964493496;14259.660005569287;0.0;0.0
0.171.16.117;60370.261669155865;49278.283119216;0.0;0.0
0.171.16.253;103827.92115213267;99196.47908212696;0.0;0.0
0.171.17.64;429.6822547912;413.63811492900004;0.0;0.0
0.171.179.50;23424.097299576657;21783.800840377495;0.0;0.0
0.171.19.107;5205.79195022324;4939.825296396036;0.0;0.0
0.171.19.21;3955.4221630136;3671.600818634389;0.0;0.0
0.171.19.26;1950.8097171773602;1852.743148802733;0.0;0.0
0.171.2.160;0.757932662964;0.0;0.0;0.0
0.171.223.157;85184.04698372835;80443.43376159588;0.0;0.0
0.171.223.216;276182.9445362283;263922.33204860816;0.0;0.0
0.171.223.223;11497.00021744333;10778.52678297749;0.0;0.0
0.171.223.234;10151.086568839472;9588.597297666218;0.0;0.0
0.171.235.139;6257.529497142089;5716.829299927765;0.0;0.0
0.171.240.206;1306267.2111988927;1229421.5204717955;0.0;0.0
0.171.244.50;2565.8981800063602;2437.935352332048;0.0;0.0
